text,label
Language Education in the Time of COVID-19,[]
COVID-19 Test Kits,[]
COVID 19 IN PRISON,[]
Get Waled Home,[]
Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,[]
Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,[]
Early release due to covid 19,[]
Medical professionals need protection and gear to fight Covid 19 !,['vaccination']
"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",[]
Class of 2020 to get their certification,[]
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,[]
Open the 2020-2021 School Year Traditionally in Shasta County,[]
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,[]
Cancel the STAAR test for the 2020/2021 school year,[]
Justice For Dr. Susan Moore,[]
Extend Winter Break for Brock Students,[]
Get American crew members home!,[]
RAISE PSW WAGES TO $25​.​00/HOUR,[]
COVID-19  Dance Studio Industry Economic Hardship,[]
Support More Testing for Covid,[]
UBC Partial Tuition Refund,[]
Close China’s wet market permanently,[]
#SaveOurYouth,[]
Tuition Adjustments Due to COVID-19,[]
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,[]
Cancel 10th Gujarat Board Exams,['lockdowns']
Cancellation of all University assignments and exams due to instability caused by COVID-19,['lockdowns']
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,['lockdowns']
NOW reinstate all facial treatments from behind and to the side of the face.,[]
Equestrian Riding relief,[]
UWC must call off university!,['lockdowns']
Cancel Okanagan college  Classes due to COVID-19,['lockdowns']
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,[]
Stop tourism to the Isle of Wight during the Covid 19 outbreak,['lockdowns']
No profit on Covid-19!,[]
Cancel rent payments for international students during Covid 19,[]
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,[]
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,[]
Make Regis University close its doors now.,['lockdowns']
Post Natal Massage Service as Essential Services,[]
Cancellation of RTU Final Semester Examination,[]
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,[]
"20 per studio classroom, rather than 20 per premises - if deemed safe.",['masking_and_distancing']
VicRoads refund rego and TAC charged during covid restrictions.,[]
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",[]
Create a Covid-19 relief package for informal waste pickers of Delhi,[]
Take proactive action to mitigate COVID19 in Ethiopia,[]
Stellenbosch University to Implement Online Examinations,['lockdowns']
No Schools Till Corona Ends...,['lockdowns']
Recreation Boating During Stay At Home,['lockdowns']
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,[]
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,[]
COVID-19 - Free streaming services for quarantine,[]
Help stop the deportation of the Ferreira family during a global pandemic.,[]
Make masks mandatory for public settings in the Region of Waterloo.,['masking_and_distancing']
Pay Health Care Students On Placement,[]
Support private nurseries through Covid-19,[]
cancel school due to the water boil order and COVID 19,['lockdowns']
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,[]
Extend the Winter Break at UFV,[]
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,['lockdowns']
Orange County Schools Must Follow CA State Guidelines For Re-Opening,[]
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,['lockdowns']
Why final year exams shoudn't be Conducted #promote final year students,[]
Offer Unconditional Citizenship to ALL non-British NHS Workers,[]
We Must Ensure The Safety of Our Children,[]
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,[]
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,['lockdowns']
Suspend Rent & Mortgage in Connecticut during COVID-19,[]
NYC TRANSIT WORKERS DESERVE HAZARD PAY,[]
Covid-19 Safety for Dental Practitioners and Patients in Colorado,[]
Call for Peter Weir to resign,[]
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,['lockdowns']
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,[]
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,[]
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,[]
COVID-19 : Guarantee people's heat and power,[]
Create a COVID-19 testing spot on South Campus,[]
Protest Against Covid Return Travellers at Tamworth NSW Australia,[]
Close Humber College (COVID-19 / Coronavirus),['lockdowns']
"The IRS Is Holding Thousands Of Falsely Flagged Tax Refunds, During Covid-19 Crisis!!!",[]
Henry County Shelter in Place for Covid-19,[]
Schools to charge only 50% and No fees for lockdown period. Also No Vaccine No School.,"['lockdowns', 'vaccination']"
Boots to send all non essential staff home amid Covid-19 safety measures,[]
Reduce UCI Student Fees During Remote Instruction,[]
Government packages and assistance for Music Fraternity in COVID 19 PANDEMIC.,[]
Relief Funds for Freelance + Contracted Workers,[]
Small Business COVID-19 Support,[]
UW Admin create a one-credit class so international students can stay in the US,[]
Distinction des cas de Covid-19 entre la Gaspésie et les Iles-de-la-Madeleine,[]
Aprite le palestre di arrampicata,[]
Stop TFL from removing free travel for under-18s,[]
Reduce Canadian Deaths from Covid-19 and Support Canada with Social Distancing and Testing,['masking_and_distancing']
誰ひとり取り残さない。新型コロナウイルスの影響に伴う収入減少に対し、この国に生きる全ての人に所得補償を!,[]
Partial refund for 2nd semester fees from Kuwait private schools due to COVID19 closure,['lockdowns']
Postpone Class of 2020 CBE Graduation Ceremonies,[]
Tell Doug Ford Critical care is not Elective care. Help our daughter to  get her surgery!,[]
COVID-19 outbreak in Clinton County Detention Center,[]
DEMAND NCSU to release a statement and action plan to support their international students,[]
Resignation of Tedros Adhanom Ghebreyesus - The WHO Director General,[]
Justin Trudeau: Do Not Test COVID immunizations on Indigenous Canadians!,['vaccination']
Set up makeshift crematoriums and designate more burial grounds for COVID victims’ dignity,[]
Revoke retroactive fees,[]
"Allow students to alter, delay or annul their tenancy agreements because of COVID-19",[]
Release Grace from Groves HS from Jail,[]
We Want Justice! We Want Peace!,[]
"Defy COVID 19: save zoo, stables, farm & stray animal war-refugees in Yemen",[]
Close school campuses in Fremont Unified School District to avoid spreading COVID-19,['lockdowns']
Re-classify Fitness Centers as an Essential Business,[]
"After serving 25 years , I can die from Covid-19, because I am still incarcerated.",[]
Request To Make GMU Fall 2020 Classes Pass/Fail An Option Due to COVID-19,[]
CT Students Go Back To School Without Masks or Social Distancing,['masking_and_distancing']
Allow individual water sport participants in South Africa to access the ocean.,[]
Cut Carbon Emissions by 50% in 2030 and Reach ZERO emissions by 2050!,[]
Demand CA EDD accountability for Unpaid unemployment claims due to Covid 19 measures.,[]
Suspend in-person instruction at UC Merced to prevent exposure to COVID-19,['lockdowns']
نطالب وزارة الاتصالات اللبنانية بزيادة سعة الإنترنت وسرعته وتخفيض الأسعار خلال أزمة كورونا,[]
Modify SIT's Exam and Grading Policy due to COVID-19,[]
CLOSE DOWN ALL EDUCATIONAL INSTITUTIONS!,['lockdowns']
Request CWU To Make Online Classes/Finals Available Due to COVID-19 Deaths In WA State,['lockdowns']
Ensure health workers have enough PPE during Covid-19 to remain safe,['masking_and_distancing']
ECFMG Certification during COVID 19 Crisis,[]
Help for Special Needs Family during COVID,[]
Demand Louisiana Gov. Edwards take action to reduce the prison population during Covid-19,[]
Demand SF City Gov’t Responds To Homeless and Crime CRISIS,[]
Stop ICE from sending international students out of the country!,[]
Restore Youth Hockey,[]
The Ghanaian-Canadian Association of Ontario needs your support!,[]
Shut down FISD schools to prevent COVID-19 spreading,['lockdowns']
Hazard pay for X-ray tech at St Mary’s Hospital,[]
Declarar pandemia por parte de la OMS | Make official WHO pandemic status - Covid-19,[]
UVM students demand partial tuition and housing reimbursement,[]
Kids First! Let NM kids practice outdoors sports!,[]
Forgive Student Loans for Nurses working during COVID-19,[]
WITHDRAW EIA DRAFT 2020,[]
#COVID19 CHIEDIAMO CHE TUTTI RESPONSABILI SIANO GIUDICATI DA CORTE INTERNAZIONALE PENALE,[]
Nintendo should release Animal Crossing: New Horizons early due to the coronavirus,[]
COVID-19 Remembrance and Lessons Learned/COVID-19 Commémoration et Leçons Apprises,[]
Close all daycares in British Columbia to stop the spread of COVID-19,['lockdowns']
Close UBC Campus to Prevent the Outbreak of COVID-19,['lockdowns']
Recruitment of Public health officers and public technicians for UHC and prevent COVID 19,[]
Federal Student Loan Forgiveness for All,[]
Free Ashley Diamond,[]
Resignation of Jay Baker,[]
Wake up Bihar ( COVID - 19),[]
Demand NBC pull Trump Town Hall 10/15,[]
Pennsylvania Schools to Void 3/4th Quarter Grading and Allow All Student to Pass 2019/2020,[]
Revise Francis Parker School's Covid-19 Teacher Policies,[]
Shut Down Illinois Due to the Public Health Threat of Covid-19,['lockdowns']
Cancellation of medical exams covid-19,[]
#ShutDownMASS to minimize the spread of coronavirus,['lockdowns']
The University of Michigan community needs a better testing plan,[]
Hold Trump Accountable For Misleading Of Covid-19,[]
Keep Austin Building Safely During Covid-19 Shelter In Place Order,[]
Insurance Companies deny therapy to children for PT/OT/ST during global COVID-19 pandemic.,[]
Recognize and Demarcate Orthodontic Procedures Separately from Other Dental Procedures,[]
Close BC Schools to slow the spread of COVID-19,['lockdowns']
Postpone/Cancel the AP Inter-board exams.,[]
Save EasyJet jobs.,[]
Poor street dog raped by strangers during Covid -19 Lockdown,['lockdowns']
Save Manchester's historic Belle Vue Stadium,[]
Fermiamo il calcio! [ITA-ENG] ~Covid-19,[]
Expand Screening to Stop Covid-19 from Becoming an Epidemic,[]
Teachers For Good Trouble - Stop Standardized Testing During COVID-19 Pandemic,[]
Stop pig slaughterhouse at Ballymoney NI; save pigs and local community from proposed hell,[]
Help the 99% Recover from COVID-19 Crisis,[]
"Coordinación supranacional ante el COVID-19
Supranational coordination against COVID-19",[]
Suspend Rent and Mortgage payments in California during COVID-19,[]
Postponement and/or cancellation of all examinations in light of the COVID-19 Pandemic.,['lockdowns']
Engage for a better world after COVID-19 (#Engage4Better),[]
Release low risk delaware prisoners due to covid-19 outbreak,[]
"Artists, Creators, Tattooists, Musicians and Sole Traders need your help!",[]
Halt the planned cuts to West Sussex Children and Family Centres,[]
Revoke CEWS funding from anti-choice and hate groups,[]
2020 Graduation after COVID-19,[]
Petition for a public enquiry into unlawful Dáil procedure regarding covid 19 legislation.,[]
Please change BC COVID 19 testing measures ASAP,[]
Government of British Columbia: Do not single out hairstylists in phase two.*,[]
No school for all Allen ISD during the Coronavirus (COVID-19) Outbreak,['lockdowns']
Exempt the non-EU students from paying the tuition fee of SS due to the Covid - 19 crisis.,[]
